N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
130,대한전선,"1,740",40,+2.35%,100,"21,654","1,244,473",2.06,"10,252,940",40.47,7.78,
131,대우건설,"5,170",320,-5.83%,"5,000","21,488","415,623",11.09,"6,847,901",4.21,16.47,
132,신세계,"216,500","1,000",-0.46%,"5,000","21,315","9,845",27.16,"24,034",5.96,8.54,
133,키움증권,"81,000",100,+0.12%,"5,000","21,238","26,220",24.17,"28,563",2.93,25.38,
134,하이트진로,"30,150",50,-0.17%,"5,000","21,145","70,134",11.68,"175,697",26.94,6.62,
135,TIGER 200,"32,225",180,+0.56%,0,"21,011","65,200",0.00,"878,996",N/A,N/A,
136,두산퓨얼셀,"31,950","1,250",+4.07%,100,"20,925","65,494",14.66,"483,656",259.76,1.69,
137,대우조선해양,"19,300",50,-0.26%,"5,000","20,707","107,291",3.12,"394,885",-1.06,-55.86,
138,KODEX 200선물인버스2X,"3,020",40,-1.31%,0,"20,581","681,500",4.84,"116,416,564",N/A,N/A,
139,녹십자,"174,500","3,500",-1.97%,"5,000","20,393","11,687",22.87,"35,179",17.76,10.30,
140,DB하이텍,"44,500",200,+0.45%,"5,000","19,757","44,399",26.01,"762,277",4.63,33.35,
141,한화,"25,550",950,+3.86%,"5,000","19,152","74,959",14.49,"278,130",3.92,20.22,
142,한화생명,"2,175",5,+0.23%,"5,000","18,891","868,530",7.65,"894,154",2.05,10.79,
143,LS,"57,000","1,900",+3.45%,"5,000","18,354","32,200",14.63,"159,084",5.29,8.15,
144,SK케미칼,"104,000",500,-0.48%,"5,000","18,326","17,621",19.62,"51,413",13.22,11.19,
145,LIG넥스원,"82,800","1,300",+1.60%,"5,000","18,216","22,000",9.51,"198,621",14.36,14.63,
146,현대위아,"66,900",500,+0.75%,"5,000","18,194","27,195",8.84,"433,139",33.37,1.96,
147,휠라홀딩스,"29,800",150,+0.51%,"1,000","18,104","60,752",38.91,"96,698",8.00,16.20,
148,영원무역,"40,250",100,+0.25%,500,"17,835","44,311",28.89,"47,335",5.13,14.71,
149,LS ELECTRIC,"57,700","4,100",+7.65%,"5,000","17,310","30,000",12.82,"487,988",16.83,5.86,
150,후성,"18,650",550,+3.04%,500,"17,271","92,607",6.14,"2,870,702",28.17,9.61,
151,TIGER 미국S&P500,"13,105",65,+0.50%,0,"17,017","129,850",0.09,"622,500",N/A,N/A,
152,한전KPS,"37,750",50,+0.13%,200,"16,988","45,000",5.52,"99,958",22.51,9.12,
153,농심,"278,500","3,000",-1.07%,"5,000","16,940","6,083",13.21,"10,106",16.31,4.73,
154,롯데정밀화학,"65,100","1,000",+1.56%,"5,000","16,796","25,800",21.35,"179,072",2.92,30.43,
155,TIGER 단기통안채,"101,025",20,+0.02%,0,"16,757","16,587",0.83,"11,177",N/A,N/A,
