N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
173,일진하이솔루스,"41,750","1,500",-3.47%,500,"15,161","36,313",1.69,"109,862",77.89,34.27,
174,현대엘리베이,"36,650",750,-2.01%,"5,000","14,959","40,815",29.86,"97,594",23.61,9.78,
175,아시아나항공,"20,100",800,-3.83%,"5,000","14,957","74,412",7.71,"944,146",-3.46,-43.83,
176,동국제강,"15,500",100,-0.64%,"5,000","14,792","95,433",22.54,"516,690",3.27,3.35,
177,케이카,"30,400",300,+1.00%,500,"14,618","48,087",18.11,"202,512",50.50,15.11,
178,KODEX 종합채권(AA-이상)액티브,"106,065",180,+0.17%,0,"14,161","13,351",0.00,"2,183",N/A,N/A,
179,롯데렌탈,"38,200","1,300",+3.52%,"5,000","13,994","36,634",1.74,"478,618",13.25,6.73,
180,TIGER 단기통안채,"100,620",5,0.00%,0,"13,492","13,409",0.88,"1,468,652",N/A,N/A,
181,LIG넥스원,"61,200","2,800",-4.37%,"5,000","13,464","22,000",6.11,"382,772",14.27,8.86,
182,롯데리츠,"5,500",10,-0.18%,500,"13,363","242,969",9.58,"149,984",34.38,1.68,
183,티와이홀딩스,"25,900",250,+0.97%,500,"13,191","50,929",5.22,"70,154",2.23,N/A,
184,NHN,"34,800",800,-2.25%,500,"13,056","37,518",19.31,"74,869",40.18,1.35,
185,TIGER 미국S&P500,"12,865",245,-1.87%,0,"13,019","101,200",0.26,"1,465,666",N/A,N/A,
186,현대두산인프라코어,"6,540",180,-2.68%,"1,000","12,912","197,436",9.83,"815,112",5.59,6.47,
187,ESR켄달스퀘어리츠,"6,050",20,-0.33%,"1,000","12,892","213,089",31.74,"99,700",46.90,1.34,
188,한국앤컴퍼니,"13,300",200,-1.48%,500,"12,626","94,935",9.66,"68,081",5.11,5.08,
189,DL,"60,100","1,400",-2.28%,"5,000","12,594","20,956",12.24,"53,280",1.91,11.84,
190,한일시멘트,"18,100",600,-3.21%,500,"12,536","69,262",2.63,"102,896",11.92,N/A,
191,신풍제약,"23,650",350,-1.46%,500,"12,531","52,985",10.65,"604,099","3,941.67",1.72,
192,PI첨단소재,"42,400","1,150",-2.64%,500,"12,451","29,366",12.22,"122,009",21.29,15.62,
193,롯데관광개발,"17,850",450,-2.46%,500,"12,366","69,276",5.59,"636,171",-6.25,-30.43,
194,명신산업,"23,550",0,0.00%,500,"12,357","52,470",2.74,"229,786",-10.21,-67.39,
195,LG생활건강우,"587,000","17,000",+2.98%,"5,000","12,325","2,100",84.34,"2,572",12.22,N/A,
196,대한전선,"1,435",25,-1.71%,100,"12,290","856,473",1.59,"5,114,671",39.86,0.92,
197,LS ELECTRIC,"40,250","1,200",-2.90%,"5,000","12,075","30,000",17.57,"221,305",14.90,6.15,
198,에스엘,"24,700",850,-3.33%,500,"11,906","48,203",14.96,"103,256",8.19,4.74,
199,TIGER 미국테크TOP10 INDXX,"10,935",355,-3.14%,0,"11,826","108,150",0.15,"1,609,823",N/A,N/A,
200,영풍,"641,000","9,000",-1.38%,"5,000","11,807","1,842",4.17,822,9.96,4.03,
